sex,LSAT,UGPA,ZFYA,uuid
0,46.0,3.5,0.47,8740391576689644009
0,44.0,3.7,0.03,8740391580984611305
0,43.0,3.8,0.14,8740391585279578601
1,46.0,3.6,-0.13,8740391589574545897
0,46.0,3.4,0.73,8740391593869513193
1,43.0,3.4,0.3,8740391598164480489
0,45.0,3.4,-0.48,8740391602459447785
0,44.0,4.0,0.59,8740391606754415081
1,42.0,3.8,-0.89,8740391611049382377
0,43.0,3.6,0.49,8740391615344349673
1,41.0,3.5,0.89,8740391619639316969
1,44.0,3.6,0.17,8740391623934284265
0,42.0,3.9,0.78,8740391628229251561
0,47.0,3.7,0.1,8740391632524218857
0,45.0,3.5,-1.7,8740391636819186153
0,47.0,3.5,0.39,8740391641114153449
1,48.0,3.8,1.43,8740391645409120745
0,43.0,3.6,-0.66,8740391649704088041
0,38.0,3.8,-0.38,8740391653999055337
0,42.0,3.8,0.66,8740391658294022633
0,44.0,3.8,0.64,8740391662588989929
1,43.0,3.7,0.7,8740391666883957225
0,39.0,3.6,0.75,8740391671178924521
1,45.0,3.7,-0.75,8740391675473891817
1,44.0,3.5,-0.56,8740391679768859113
1,42.0,3.7,-0.87,8740391684063826409
0,33.0,3.0,-1.3,8740391688358793705
0,37.0,3.7,0.17,8740391692653761001
0,40.0,3.3,-1.28,8740391696948728297
1,45.0,3.6,0.23,8740391701243695593
1,43.0,3.0,-1.38,8740391705538662889
1,45.0,3.4,-0.18,8740391709833630185
1,40.0,3.7,-1.26,8740391714128597481
1,42.0,3.8,0.49,8740391718423564777
1,43.0,3.4,-0.58,8740391722718532073
1,41.0,3.7,0.8,8740391727013499369
0,40.0,3.5,-0.35,8740391731308466665
0,35.0,3.6,-0.71,8740391735603433961
0,48.0,3.6,0.23,8740391739898401257
0,43.0,3.7,0.95,8740391744193368553
1,43.0,3.2,-0.27,8740391748488335849
1,46.0,3.9,1.07,8740391752783303145
0,46.0,3.7,1.12,8740391757078270441
0,36.0,2.8,-3.08,8740391761373237737
0,44.0,3.5,0.13,8740391765668205033
0,43.0,3.4,-0.77,8740391769963172329
0,42.0,3.5,1.25,8740391774258139625
0,48.0,3.8,1.37,8740391778553106921
0,43.0,3.4,0.89,8740391782848074217
0,43.0,3.9,1.15,8740391787143041513
0,43.0,3.7,2.43,8740391791438008809
1,43.0,3.5,1.22,8740391795732976105
0,43.0,3.7,0.19,8740391800027943401
1,48.0,3.5,0.4,8740391804322910697
0,42.0,3.5,0.72,8740391808617877993
0,44.0,3.8,-0.96,8740391812912845289
0,44.0,3.7,1.15,8740391817207812585
0,47.0,3.6,-0.56,8740391821502779881
0,44.0,3.7,-0.66,8740391825797747177
0,43.0,3.8,0.89,8740391830092714473
1,42.0,3.8,-0.05,8740391834387681769
0,47.0,3.4,1.34,8740391838682649065
0,42.0,3.1,-0.82,8740504285221425641
1,45.0,3.9,0.14,8740504289516392937
0,47.0,3.6,0.6,8740504293811360233
1,34.0,3.2,-0.81,8740504298106327529
1,35.0,4.0,-0.74,8740504302401294825
1,37.5,3.4,-0.88,8740504306696262121
0,48.0,3.5,-0.61,8740504310991229417
0,41.0,3.6,0.51,8740504315286196713
0,41.0,3.4,-2.4,8740504319581164009
1,44.0,3.5,-1.31,8740504323876131305
1,44.0,3.7,0.82,8740504328171098601
1,41.0,3.7,-0.61,8740504332466065897
1,43.0,3.5,0.19,8740504336761033193
1,48.0,3.2,-0.33,8740504341056000489
0,47.0,3.5,0.99,8740504345350967785
1,44.0,3.3,-1.48,8740504349645935081
1,42.0,3.7,0.04,8740504353940902377
1,47.0,3.6,-0.33,8740504358235869673
1,45.0,3.4,0.99,8740504362530836969
0,43.0,3.4,-0.48,8740504366825804265
1,40.0,3.6,-1.37,8740504371120771561
1,45.0,3.9,-0.69,8740504375415738857
0,41.0,3.7,0.72,8740504379710706153
0,42.0,3.8,-0.52,8740504384005673449
1,43.0,3.6,0.32,8740504388300640745
1,44.0,3.5,-0.52,8740504392595608041
1,43.0,3.7,1.0,8740504396890575337
1,46.0,4.0,0.55,8740504401185542633
1,45.0,3.8,0.98,8740504405480509929
0,45.0,4.0,0.62,8740504409775477225
0,44.0,4.0,-0.72,8740504414070444521
1,46.0,3.6,0.13,8740504418365411817
0,48.0,3.9,1.18,8740504422660379113
0,48.0,3.2,0.81,8740504426955346409
0,44.0,3.5,1.25,8740504431250313705
1,42.0,3.9,0.06,8740504435545281001
1,41.0,3.8,-0.22,8740504439840248297
1,46.0,3.8,0.06,8740504444135215593
0,38.0,3.9,0.85,8740504448430182889
0,43.0,3.5,0.24,8740504452725150185
0,39.0,4.0,-0.51,8740504457020117481
1,34.0,3.5,-0.95,8740504461315084777
0,42.0,4.0,1.39,8740504465610052073
1,35.0,2.9,0.05,8740504469905019369
1,32.0,3.1,0.76,8740504474199986665
0,41.0,2.5,-0.5,8740504478494953961
0,35.0,2.8,0.27,8740504482789921257
1,39.0,3.6,0.2,8740504487084888553
0,35.5,2.6,-0.35,8740504491379855849
0,39.0,3.0,0.76,8740504495674823145
0,33.0,3.5,0.89,8740504499969790441
0,32.0,3.3,0.54,8740504504264757737
0,36.0,3.3,1.28,8740504508559725033
0,37.0,2.8,0.15,8740504512854692329
0,37.0,3.9,1.32,8740504517149659625
0,40.0,3.1,1.34,8740504521444626921
1,35.0,2.8,-0.84,8740504525739594217
1,36.0,3.6,-0.17,8740504530034561513
1,29.5,3.0,-1.19,8740504534329528809
0,33.0,3.3,0.05,8740504538624496105
0,36.0,2.6,0.88,8740504542919463401
0,34.5,2.7,0.53,8740504547214430697
0,38.0,3.0,-1.81,8740504551509397993
0,36.0,2.7,-1.22,8740504555804365289
0,42.0,3.2,1.61,8740504560099332585
1,33.0,3.2,-1.61,8740504564394299881
0,33.0,3.0,-1.06,8740504568689267177
0,34.0,3.1,0.97,8740504572984234473
0,40.0,3.7,1.41,8740504577279201769
0,41.0,3.3,1.52,8740504581574169065
0,38.0,3.6,0.15,8740504585869136361
0,34.0,3.1,-0.57,8740504590164103657
1,35.0,2.9,-0.52,8740504594459070953
1,39.0,3.5,0.12,8740504598754038249
0,31.0,3.3,-0.04,8740504603049005545
0,37.0,2.9,0.15,8740504607343972841
1,39.0,3.2,0.4,8740504611638940137
1,32.0,3.3,0.17,8740504615933907433
0,31.0,3.0,1.2,8740504620228874729
1,34.0,2.8,-0.11,8740504624523842025
0,33.0,3.8,1.81,8740504628818809321
1,28.0,3.5,-1.21,8740504633113776617
0,40.0,3.2,-0.26,8740504637408743913
0,31.0,3.1,0.01,8740504641703711209
0,33.0,3.0,-1.05,8740504645998678505
1,32.0,3.7,0.17,8740504650293645801
1,31.5,3.6,0.71,8740504654588613097
0,34.0,3.1,0.22,8740504658883580393
0,28.0,3.6,-1.38,8740504663178547689
0,42.0,3.9,0.45,8740504667473514985
0,33.0,3.0,0.08,8740504671768482281
1,32.0,3.1,0.04,8740504676063449577
1,31.0,3.4,0.23,8740504680358416873
0,27.0,3.2,-0.7,8740504684653384169
0,35.0,3.2,-0.46,8740504688948351465
0,29.0,3.4,0.39,8740504693243318761
1,33.0,3.0,-0.79,8740504697538286057
1,39.0,3.9,0.59,8740504701833253353
0,36.0,3.1,0.36,8740504706128220649
0,33.0,3.1,0.05,8740504710423187945
1,36.0,2.8,0.26,8740504714718155241
1,35.0,3.0,-0.09,8740504719013122537
1,39.0,3.1,0.57,8740504723308089833
0,34.0,3.0,0.28,8740504727603057129
1,31.0,3.6,-0.79,8740504731898024425
1,30.5,3.7,-0.39,8740504736192991721
0,30.0,2.5,-0.99,8740504740487959017
0,35.0,2.8,-1.34,8740504744782926313
0,29.0,3.5,0.94,8740504749077893609
0,38.0,3.3,-0.36,8740504753372860905
0,32.0,2.5,-0.67,8740504757667828201
0,29.0,3.5,0.58,8740504761962795497
0,34.0,3.0,-0.6,8740504766257762793
0,28.0,3.1,-0.97,8740504770552730089
0,24.0,3.8,-0.13,8740504774847697385
1,27.0,3.9,-0.23,8740504779142664681
0,30.0,3.0,-0.09,8740504783437631977
1,34.0,3.1,-0.41,8740504787732599273
1,37.0,3.4,2.71,8740504792027566569
0,33.0,2.9,0.65,8740504796322533865
0,32.0,3.0,-0.45,8740504800617501161
1,28.0,3.6,-1.59,8740504804912468457
0,36.0,2.5,-1.65,8740504809207435753
0,32.0,3.2,0.54,8740504813502403049
1,32.0,3.1,-0.15,8740504817797370345
0,32.0,2.8,-1.11,8740504822092337641
1,36.0,2.7,-0.68,8740504826387304937
1,25.5,3.4,-0.91,8740504830682272233
1,30.5,3.0,-1.62,8740504834977239529
0,36.0,2.7,0.39,8740504839272206825
1,36.0,3.5,1.02,8740504843567174121
1,36.0,3.0,-1.33,8740504847862141417
0,32.0,3.7,-0.22,8740504852157108713
0,34.0,2.9,1.25,8740504856452076009
0,45.0,4.0,1.04,8740504860747043305
1,30.0,3.4,-0.26,8740504865042010601
0,30.5,3.4,-1.27,8740504869336977897
0,30.0,2.9,-1.04,8740504873631945193
1,31.0,3.1,-0.31,8740504877926912489
1,39.0,4.0,0.88,8740504882221879785
1,32.0,3.8,-0.4,8740504886516847081
0,33.0,3.1,0.92,8740504890811814377
0,30.25,2.9,1.05,8740504895106781673
0,29.0,3.5,-0.61,8740504899401748969
1,34.0,3.1,-0.69,8740504903696716265
0,27.0,3.3,1.81,8740504907991683561
0,34.5,3.0,-0.03,8740504912286650857
0,30.0,3.4,0.03,8740504916581618153
1,32.0,3.2,-0.49,8740504920876585449
0,32.0,3.7,0.55,8740504925171552745
0,32.0,3.1,-0.76,8740504929466520041
0,37.0,3.2,0.98,8740504933761487337
0,29.25,3.0,-1.62,8740504938056454633
0,32.0,2.9,-0.63,8740504942351421929
0,35.0,3.4,0.33,8740504946646389225
0,38.0,3.7,1.68,8740504950941356521
0,36.0,2.8,-1.03,8740504955236323817
0,38.0,3.3,0.58,8740504959531291113
0,29.5,3.6,-0.26,8740504963826258409
1,32.0,3.2,-0.76,8740504968121225705
0,33.0,3.1,-0.45,8740504972416193001
1,42.0,3.1,1.13,8740504976711160297
0,34.0,3.1,-0.1,8740504981006127593
0,36.0,2.6,-0.13,8740504985301094889
1,34.0,2.8,-0.58,8740504989596062185
1,39.0,4.0,1.73,8740504993891029481
0,29.0,3.3,0.27,8740504998185996777
0,33.5,2.6,-1.45,8740505002480964073
1,38.0,3.8,-0.08,8740505006775931369
0,37.0,2.9,1.14,8740505011070898665
1,34.0,3.5,-0.26,8740505015365865961
0,33.75,2.3,-0.5,8740505019660833257
1,28.0,3.8,-1.14,8740505023955800553
1,29.5,3.3,0.76,8740505028250767849
0,35.0,2.6,0.37,8740505032545735145
0,38.0,3.4,0.88,8740505036840702441
1,28.0,3.5,0.81,8740505041135669737
0,39.0,3.0,0.7,8740505045430637033
1,36.0,3.8,0.88,8740505049725604329
1,28.0,2.4,-0.59,8740505054020571625
1,35.0,3.3,-0.47,8740505058315538921
1,37.0,3.1,0.12,8740505062610506217
1,33.0,3.7,-0.68,8740505066905473513
0,32.0,3.3,-0.8,8740505071200440809
1,33.0,3.1,1.33,8740505075495408105
1,30.0,3.4,-1.33,8740505079790375401
0,31.0,3.3,0.85,8740505084085342697
0,36.0,2.9,1.41,8740505088380309993
0,33.0,3.5,0.3,8740505092675277289
1,32.0,3.5,-0.07,8740505096970244585
1,32.0,3.5,-0.86,8740505101265211881
0,28.0,3.9,2.37,8740505105560179177
1,44.0,3.8,1.86,8740505109855146473
1,33.0,3.1,-0.9,8740505114150113769
1,36.0,4.1,2.21,8740505118445081065
0,38.0,3.4,1.74,8740505122740048361
0,31.0,3.0,-1.53,8740505127035015657
0,32.0,3.3,0.26,8740505131329982953
1,31.0,3.3,-0.89,8740505135624950249
1,31.0,3.1,-0.53,8740505139919917545
1,34.0,3.3,0.02,8740505144214884841
0,38.0,3.8,1.98,8740505148509852137
0,38.0,3.8,-0.51,8740505152804819433
0,32.0,3.1,0.37,8740505157099786729
0,26.5,3.2,-0.58,8740505161394754025
1,33.0,3.5,0.98,8740505165689721321
1,37.0,2.6,0.84,8740505169984688617
1,37.0,3.3,-0.29,8740505174279655913
0,35.0,3.0,-0.34,8740505178574623209
1,36.0,3.7,-0.32,8740505182869590505
1,30.5,2.7,-0.32,8740505187164557801
0,39.0,3.0,-1.07,8740505191459525097
0,31.0,4.0,0.08,8740505195754492393
0,36.0,3.1,0.17,8740505200049459689
1,38.0,3.7,2.24,8740505204344426985
1,36.0,3.3,-0.07,8740505208639394281
0,34.0,3.0,-0.56,8740505212934361577
1,41.0,3.9,2.39,8740505217229328873
0,33.5,3.3,-0.07,8740505221524296169
1,41.0,2.8,0.42,8740505225819263465
0,38.0,3.9,1.73,8740505230114230761
1,39.0,3.7,2.55,8740505234409198057
1,43.0,2.9,0.17,8740505238704165353
1,30.0,3.3,-0.07,8740505242999132649
0,23.0,3.8,-1.07,8740505247294099945
1,32.5,3.5,-0.58,8740505251589067241
0,40.0,3.4,-0.8,8740505255884034537
0,39.0,3.2,0.17,8740505260179001833
1,45.0,3.1,0.66,8740505264473969129
0,35.0,3.2,1.15,8740505268768936425
0,35.0,3.6,-0.98,8740505273063903721
1,35.0,3.4,1.15,8740505277358871017
0,40.0,3.4,0.02,8740505281653838313
1,36.0,0.0,0.42,8740505285948805609
1,35.0,3.7,-0.74,8740505290243772905
0,36.0,3.5,0.17,8740505294538740201
1,40.0,3.6,1.39,8740505298833707497
1,39.0,3.4,-0.56,8740505303128674793
0,38.0,3.0,-1.23,8740505307423642089
1,39.0,3.4,0.17,8740505311718609385
1,40.0,3.1,0.51,8740505316013576681
1,38.0,3.5,-0.65,8740505320308543977
0,42.0,3.3,1.08,8740505324603511273
0,41.0,3.5,-0.16,8740505328898478569
0,36.0,2.9,0.42,8740505333193445865
1,30.0,3.3,-0.98,8740505337488413161
1,35.0,2.9,-1.07,8740505341783380457
1,35.5,3.2,-0.65,8740505346078347753
1,41.0,2.8,-0.83,8740505350373315049
0,29.0,3.2,-0.89,8740505354668282345
0,43.0,2.9,1.08,8740505358963249641
1,33.0,3.0,0.51,8740505363258216937
0,38.0,3.6,0.02,8740505367553184233
1,33.0,3.1,-0.89,8740505371848151529
0,31.0,3.1,-1.31,8740505376143118825
0,33.0,3.3,0.51,8740505380438086121
0,39.0,2.8,0.02,8740505384733053417
1,35.0,3.4,-1.07,8740505389028020713
0,33.0,3.6,-0.07,8740505393322988009
1,40.0,2.9,0.08,8740505397617955305
1,33.5,3.7,0.17,8740505401912922601
1,36.0,3.3,2.06,8740505406207889897
1,37.0,3.3,1.17,8740505410502857193
1,40.0,3.2,1.97,8740505414797824489
0,42.0,3.5,-0.07,8740505419092791785
0,33.0,3.3,-0.32,8740505423387759081
0,30.0,3.3,1.39,8740505427682726377
1,35.0,3.1,-0.8,8740505431977693673
0,34.0,3.3,-1.56,8740505436272660969
0,41.0,3.5,-0.16,8740505440567628265
1,34.5,3.8,-0.65,8740505444862595561
0,35.0,3.8,0.17,8740505449157562857
0,40.0,3.5,0.91,8740505453452530153
1,37.0,3.6,-0.56,8740505457747497449
1,44.0,3.4,2.24,8740505462042464745
0,35.5,3.6,-1.23,8740505466337432041
1,29.5,3.6,0.17,8740505470632399337
0,42.0,3.6,1.48,8740505474927366633
1,38.0,3.5,-0.07,8740505479222333929
0,35.0,2.4,1.57,8740505483517301225
1,33.0,3.5,0.06,8740505487812268521
0,41.0,3.4,-0.56,8740505492107235817
1,35.0,3.4,-0.74,8740505496402203113
1,41.0,3.2,-0.65,8740505500697170409
0,39.0,3.4,2.39,8740505504992137705
1,41.0,3.1,0.08,8740505509287105001
1,42.0,3.1,1.08,8740505513582072297
1,37.0,3.3,0.84,8740505517877039593
1,31.0,3.5,0.66,8740505522172006889
1,37.0,3.5,1.15,8740505526466974185
0,31.0,2.6,-0.16,8740505530761941481
0,33.0,3.1,0.17,8740505535056908777
0,26.0,3.5,-0.07,8740505539351876073
0,37.5,3.4,0.35,8740505543646843369
1,42.0,3.2,0.66,8740505547941810665
0,36.0,3.2,-0.56,8740505552236777961
0,39.0,3.6,-0.4,8740505556531745257
1,38.0,3.8,0.26,8740505560826712553
0,41.0,2.6,-0.07,8740505565121679849
0,37.0,3.4,-0.89,8740505569416647145
1,41.0,3.0,0.26,8740505573711614441
1,35.0,3.2,-0.07,8740505578006581737
1,32.0,3.8,0.42,8740505582301549033
0,37.0,3.4,0.26,8740505586596516329
0,40.0,3.7,0.75,8740505590891483625
0,38.0,3.5,-0.56,8740505595186450921
1,33.5,3.3,-0.23,8740505599481418217
1,40.0,2.7,0.75,8740505603776385513
1,36.0,2.9,0.17,8740505608071352809
1,38.0,3.3,0.66,8740505612366320105
0,39.0,3.5,-0.49,8740505616661287401
1,32.0,3.1,-1.07,8740505620956254697
1,28.0,2.7,-0.07,8740505625251221993
1,39.0,3.6,-0.32,8740505629546189289
1,30.5,2.7,-0.32,8740505633841156585
0,31.0,3.3,-1.31,8740505638136123881
1,33.0,3.7,-0.32,8740505642431091177
0,39.0,3.3,-0.07,8740505646726058473
0,34.0,3.3,0.33,8740505651021025769
1,39.0,0.0,-0.16,8740505655315993065
1,37.0,3.3,-0.4,8740505659610960361
1,39.0,4.0,2.88,8740505663905927657
1,35.0,3.5,0.66,8740505668200894953
0,40.0,3.3,2.06,8740505672495862249
0,40.0,3.3,2.24,8740505676790829545
1,26.0,2.8,-1.07,8740505681085796841
0,36.0,2.6,-0.4,8740505685380764137
1,39.0,2.5,-0.89,8740505689675731433
0,33.0,3.1,-0.74,8740505693970698729
1,36.0,3.3,0.82,8740505698265666025
0,32.0,2.7,-1.31,8740505702560633321
1,31.0,3.5,-0.8,8740505706855600617
0,42.0,3.3,-0.16,8740505711150567913
1,34.0,3.6,1.08,8740505715445535209
0,36.5,3.6,0.66,8740505719740502505
1,40.0,3.2,-0.07,8740505724035469801
1,32.0,3.1,-0.32,8740505728330437097
0,41.0,3.3,0.42,8740505732625404393
0,37.0,3.5,2.48,8740505736920371689
0,35.0,2.5,-0.98,8740505741215338985
0,35.5,3.7,-0.4,8740505745510306281
0,37.0,3.4,-0.56,8740505749805273577
0,38.0,3.4,-0.56,8740505754100240873
0,33.0,3.4,-1.23,8740505758395208169
1,32.0,2.4,-0.65,8740505762690175465
0,39.0,3.2,1.15,8740505766985142761
1,35.0,4.0,-0.16,8740505771280110057
1,29.0,3.5,0.51,8740505775575077353
0,41.0,2.7,-0.56,8740505779870044649
1,26.0,3.4,-0.4,8740505784165011945
0,39.5,3.1,0.33,8740505788459979241
1,34.0,3.9,0.89,8740505792754946537
0,37.0,2.9,-1.78,8740505797049913833
1,28.0,3.0,-0.76,8740505801344881129
1,27.0,3.8,-0.05,8740505805639848425
1,33.0,3.3,1.31,8740505809934815721
0,30.0,3.6,0.51,8740505814229783017
0,34.0,3.4,-0.59,8740505818524750313
0,29.0,3.0,-1.56,8740505822819717609
1,27.5,3.1,-0.18,8740505827114684905
0,35.0,2.7,-0.56,8740505831409652201
1,34.0,3.3,1.65,8740505835704619497
0,39.0,3.1,0.38,8740505839999586793
0,30.0,3.1,-0.42,8740505844294554089
0,30.0,2.9,-0.2,8740505848589521385
1,30.5,2.8,0.11,8740505852884488681
1,26.0,2.3,-1.31,8740505857179455977
0,33.0,3.7,1.2,8740505861474423273
1,32.0,3.8,0.05,8740505865769390569
0,37.0,2.4,0.89,8740505870064357865
1,24.0,3.2,-0.69,8740505874359325161
0,41.0,3.0,1.28,8740505878654292457
1,28.0,2.9,-2.24,8740505882949259753
1,36.0,2.8,-0.81,8740505887244227049
0,40.0,3.0,-0.51,8740505891539194345
0,31.0,2.9,0.8,8740505895834161641
1,33.0,3.5,-1.07,8740505900129128937
0,32.0,3.9,-0.88,8740505904424096233
1,33.0,3.0,-0.76,8740505908719063529
0,25.0,3.0,-1.48,8740505913014030825
1,31.0,3.0,-0.29,8740505917308998121
1,31.0,3.1,-0.1,8740505921603965417
0,38.0,2.7,0.68,8740505925898932713
1,35.0,2.9,0.14,8740505930193900009
0,34.0,3.0,1.54,8740505934488867305
0,39.0,3.1,1.06,8740505938783834601
1,27.0,3.0,-0.64,8740505943078801897
0,34.0,2.7,0.58,8740505947373769193
0,34.0,3.7,0.09,8740505951668736489
0,20.0,3.1,-1.44,8740505955963703785
1,28.0,2.5,-1.2,8740505960258671081
0,36.0,2.9,1.59,8740505964553638377
0,30.0,3.0,0.04,8740505968848605673
1,43.0,2.2,0.63,8740505973143572969
1,31.0,3.6,-0.9,8740505977438540265
0,33.0,3.5,-0.05,8740505981733507561
1,30.0,3.4,0.68,8740505986028474857
0,34.0,3.0,0.65,8740505990323442153
0,32.5,3.3,-0.9,8740505994618409449
1,31.0,3.3,1.16,8740505998913376745
1,31.0,3.0,-0.93,8740506003208344041
1,26.0,3.7,0.8,8740506007503311337
1,37.0,2.1,0.36,8740506011798278633
1,31.0,3.5,-0.18,8740506016093245929
0,33.0,3.0,-0.37,8740506020388213225
0,29.0,3.5,0.85,8740506024683180521
1,30.0,3.3,-0.17,8740506028978147817
0,32.0,3.5,1.06,8740506033273115113
0,37.0,2.4,-0.12,8740506037568082409
0,37.0,3.4,1.09,8740506041863049705
0,27.75,2.9,0.16,8740506046158017001
0,38.0,3.8,1.01,8740506050452984297
1,37.0,3.3,1.14,8740506054747951593
0,25.0,3.1,-0.68,8740506059042918889
0,39.0,3.6,1.09,8740506063337886185
1,38.0,3.7,-0.64,8740506067632853481
1,22.0,2.6,1.31,8740506071927820777
1,31.0,3.4,0.97,8740506076222788073
0,30.5,3.0,1.65,8740506080517755369
0,29.0,3.4,0.09,8740506084812722665
0,31.0,3.5,-0.66,8740506089107689961
0,42.0,2.7,1.45,8740506093402657257
1,35.0,2.9,0.72,8740506097697624553
0,18.0,2.7,-1.97,8740506101992591849
0,36.0,3.2,0.29,8740506106287559145
0,41.0,2.9,1.48,8740506110582526441
0,44.0,3.2,-0.11,8740506114877493737
0,37.0,3.5,0.92,8740506119172461033
0,40.0,3.2,0.08,8740506123467428329
1,35.0,3.4,-0.48,8740506127762395625
1,42.0,3.0,0.55,8740506132057362921
0,37.0,3.3,-1.83,8740506136352330217
1,34.0,3.3,2.45,8740506140647297513
1,38.0,3.5,-0.39,8740506144942264809
0,39.0,3.4,0.36,8740506149237232105
0,35.0,3.5,0.17,8740506153532199401
1,39.0,3.0,-0.3,8740506157827166697
0,39.0,3.0,-1.52,8740506162122133993
1,47.0,2.2,-0.86,8740506166417101289
0,44.0,2.9,0.92,8740506170712068585
1,37.0,3.0,-0.3,8740506175007035881
0,44.0,3.0,0.92,8740506179302003177
0,36.0,3.8,-1.23,8740506183596970473
1,35.0,3.6,-0.95,8740506187891937769
1,37.0,3.1,0.64,8740506192186905065
0,44.0,2.6,0.26,8740506196481872361
0,39.0,2.9,-0.11,8740506200776839657
1,35.5,3.9,1.01,8740506205071806953
0,35.5,3.7,0.45,8740506209366774249
0,38.0,3.0,-0.77,8740506213661741545
1,38.0,3.3,-0.48,8740506217956708841
0,40.0,2.9,1.51,8740506222251676137
1,38.0,3.0,0.45,8740506226546643433
0,42.0,3.6,0.08,8740506230841610729
1,34.0,2.8,0.36,8740506235136578025
1,40.0,2.9,0.36,8740506239431545321
0,42.0,2.7,-0.67,8740506243726512617
0,41.0,2.9,0.73,8740506248021479913
0,39.0,3.4,-0.77,8740506252316447209
1,26.0,3.3,-0.48,8740506256611414505
0,37.0,3.4,-0.39,8740506260906381801
0,40.0,3.1,2.54,8740506265201349097
1,39.0,3.2,-0.11,8740506269496316393
1,41.0,3.3,2.45,8740506273791283689
0,41.5,3.2,-0.58,8740506278086250985
0,41.0,3.2,-1.52,8740506282381218281
1,41.0,2.4,-0.02,8740506286676185577
0,36.0,3.0,0.36,8740506290971152873
1,38.0,3.3,-0.02,8740506295266120169
1,36.5,3.2,-0.77,8740506299561087465
0,41.0,3.1,-0.58,8740506303856054761
0,38.0,2.8,-1.73,8740506308151022057
1,34.5,3.8,-0.67,8740506312445989353
0,40.0,3.2,0.17,8740506316740956649
0,42.0,2.9,-0.58,8740506321035923945
0,38.0,3.9,-0.48,8740506325330891241
1,35.0,3.6,0.92,8740506329625858537
0,41.0,2.7,-1.14,8740506333920825833
1,39.0,3.6,1.3,8740506338215793129
1,39.0,3.2,0.55,8740506342510760425
0,38.0,3.0,-1.64,8740506346805727721
1,39.0,3.9,0.73,8740506351100695017
1,42.0,3.0,-0.67,8740506355395662313
1,40.0,3.1,-1.23,8740506359690629609
0,34.5,3.1,-0.95,8740506363985596905
0,39.0,3.6,-0.3,8740506368280564201
0,40.0,3.3,1.7,8740506372575531497
1,38.5,3.3,-0.02,8740506376870498793
0,31.0,3.6,-1.64,8740506381165466089
1,42.0,2.8,1.42,8740506385460433385
0,40.0,3.3,0.83,8740506389755400681
1,31.0,3.0,-1.05,8740506394050367977
0,36.5,2.6,-0.58,8740506398345335273
0,36.0,2.9,1.98,8740506402640302569
0,39.0,3.5,0.17,8740506406935269865
0,43.0,3.0,-0.2,8740506411230237161
0,39.0,3.0,0.73,8740506415525204457
1,40.0,2.9,1.61,8740506419820171753
0,32.0,3.4,-0.11,8740506424115139049
0,39.0,3.0,1.97,8740506428410106345
0,40.0,3.3,1.48,8740506432705073641
1,40.0,3.2,-0.58,8740506437000040937
0,39.0,3.5,2.36,8740506441295008233
1,39.0,3.4,1.61,8740506445589975529
1,39.0,2.9,-1.14,8740506449884942825
1,40.0,3.2,-0.2,8740506454179910121
0,28.5,3.2,-1.64,8740506458474877417
1,37.0,3.3,1.89,8740506462769844713
0,38.0,3.3,0.36,8740506467064812009
1,38.0,3.4,-0.67,8740506471359779305
0,37.5,3.3,1.2,8740506475654746601
1,40.0,3.4,0.26,8740506479949713897
0,39.0,3.0,-1.64,8740506484244681193
0,39.0,3.4,0.55,8740506488539648489
0,41.0,3.2,-0.02,8740506492834615785
1,36.0,2.9,0.08,8740506497129583081
1,38.5,3.4,-1.92,8740506501424550377
0,36.0,3.4,-0.58,8740506505719517673
0,40.0,2.8,-0.48,8740506510014484969
0,40.0,2.6,-0.39,8740506514309452265
0,41.0,3.4,0.83,8740506518604419561
1,39.0,2.8,-0.97,8740506522899386857
1,38.0,3.0,-0.95,8740506527194354153
0,38.0,2.7,-1.33,8740506531489321449
1,39.0,3.0,0.36,8740506535784288745
0,38.0,2.8,-1.14,8740506540079256041
1,39.0,3.2,-0.2,8740506544374223337
0,38.0,3.1,0.45,8740506548669190633
0,39.0,3.0,0.73,8740506552964157929
1,40.0,3.3,-0.95,8740506557259125225
1,38.0,3.0,-1.23,8740506561554092521
1,38.0,3.6,0.36,8740506565849059817
0,36.0,2.9,0.45,8740506570144027113
0,43.0,2.7,1.2,8740506574438994409
0,37.5,3.8,0.92,8740506578733961705
1,37.0,3.9,-1.42,8740506583028929001
0,39.0,3.2,-0.39,8740506587323896297
1,33.5,2.9,-0.58,8740506591618863593
1,38.0,3.0,-1.23,8740506595913830889
0,35.0,3.3,-1.23,8740506600208798185
1,39.0,3.7,1.42,8740506604503765481
1,40.0,3.0,-0.11,8740506608798732777
0,36.0,2.9,0.08,8740506613093700073
1,36.5,2.7,-0.58,8740506617388667369
0,43.0,2.9,1.01,8740506621683634665
0,39.0,2.9,-0.95,8740506625978601961
1,38.0,2.7,-0.67,8740506630273569257
1,37.5,3.1,-0.39,8740506634568536553
1,45.0,2.9,0.92,8740506638863503849
0,41.0,2.6,-0.3,8740506643158471145
1,37.0,3.1,-0.58,8740506647453438441
0,38.0,3.2,-0.77,8740506651748405737
1,38.0,3.0,0.73,8740506656043373033
0,37.0,3.3,0.45,8740506660338340329
0,34.5,3.1,-1.83,8740506664633307625
0,37.0,3.1,-0.86,8740506668928274921
1,47.0,3.0,1.89,8740506673223242217
1,41.0,2.8,-0.2,8740506677518209513
0,35.0,3.7,-0.48,8740506681813176809
